"filename", "language", "TypeScript", "SCSS", "JavaScript", "Vue", "JSON", "Properties", "comment", "blank", "total"
"e:\cauc_museum\CAUC_Booking\src\store\modules\user\index.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 1, 2
"e:\cauc_museum\CAUC_Booking\src\store\modules\user\user.js", "JavaScript", 0, 0, 113, 0, 0, 0, 8, 8, 129
"e:\cauc_museum\CAUC_Booking\src\uni.scss", "SCSS", 0, 37, 0, 0, 0, 0, 26, 15, 78
"e:\cauc_museum\CAUC_Booking\src\utils\api\date.js", "JavaScript", 0, 0, 57, 0, 0, 0, 1, 4, 62
"e:\cauc_museum\CAUC_Booking\src\utils\api\index.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 1, 3
"e:\cauc_museum\CAUC_Booking\src\utils\api\order.js", "JavaScript", 0, 0, 97, 0, 0, 0, 18, 4, 119
"e:\cauc_museum\CAUC_Booking\src\utils\config\constants.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\cauc_museum\CAUC_Booking\src\utils\config\http.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 3, 11
"e:\cauc_museum\CAUC_Booking\src\utils\config\index.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\cauc_museum\CAUC_Booking\src\utils\enum\index.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 1, 4
"e:\cauc_museum\CAUC_Booking\src\utils\fn\common.js", "JavaScript", 0, 0, 45, 0, 0, 0, 6, 4, 55
"e:\cauc_museum\CAUC_Booking\src\utils\fn\date.js", "JavaScript", 0, 0, 51, 0, 0, 0, 8, 9, 68
"e:\cauc_museum\CAUC_Booking\src\utils\fn\index.js", "JavaScript", 0, 0, 103, 0, 0, 0, 10, 11, 124
"e:\cauc_museum\CAUC_Booking\src\utils\fn\verify.js", "JavaScript", 0, 0, 8, 0, 0, 0, 1, 1, 10
"e:\cauc_museum\CAUC_Booking\src\utils\http\date.js", "JavaScript", 0, 0, 57, 0, 0, 0, 1, 4, 62
"e:\cauc_museum\CAUC_Booking\src\utils\http\index.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 3, 11
"e:\cauc_museum\CAUC_Booking\src\utils\http\order.js", "JavaScript", 0, 0, 43, 0, 0, 0, 1, 2, 46
"Total", "-", 5, 82, 670, 3926, 167, 2, 139, 390, 5381
